,officer,date,age,weapon,outcome,assignment,latlng,id
457,Spencer Reedy,2009-11-05,18,"(0, '')",1,San Dimas,"(34.11220840000001, -117.9145059)",SH2254709
458,Jimmy Yee,2009-11-21,32,"(0, '')",0,East Los Angeles,"(33.9992188, -117.9390212)",SH2255621
459,Ronnie Perez,2009-11-30,24,"(0, '')",0,Operation Safe Streets Bureau,"(33.938596, -118.2520748)",SH2256034
460,Ronnie Perez,2009-11-30,27,"(1, 'Gun')",0,Operation Safe Streets Bureau,"(33.938596, -118.2520748)",SH2256034
461,Ronnie Perez,2009-11-30,23,"(1, 'Gun')",0,Operation Safe Streets Bureau,"(33.938596, -118.2520748)",SH2256034
462,Kenneth Fitch,2009-12-05,31,"(0, 'Hands/Feet')",2,Inmate Reception Center - off duty,"(34.0238914, -118.1927337)",SH2256410
463,Kenneth Fitch,2009-12-05,37,"(0, 'Hands/Feet')",0,Inmate Reception Center - off duty,"(34.0238914, -118.1927337)",SH2256410
464,Kenneth Fitch,2009-12-05,38,"(0, 'Hands/Feet')",0,Inmate Reception Center - off duty,"(34.0238914, -118.1927337)",SH2256410
465,Kenneth Fitch,2009-12-05,20,"(0, 'Hands/Feet')",0,Inmate Reception Center - off duty,"(34.0238914, -118.1927337)",SH2256410
466,Kenneth Fitch,2009-12-05,20,"(0, 'Hands/Feet')",0,Inmate Reception Center - off duty,"(34.0238914, -118.1927337)",SH2256410
467,Kenneth Fitch,2009-12-05,29,"(0, 'Hands/Feet')",0,Inmate Reception Center - off duty,"(34.0238914, -118.1927337)",SH2256410
468,Unknown,2009-12-19,23,"(1, 'Gun')",2,Century,"(33.9382409, -118.2390398)",SH2257614
469,Unknown,2010-01-14,43,"(0, '')",2,Carson,"(33.8822241, -118.2833651)",SH2258903
470,Dejay Barber,2010-02-10,19,"(1, 'Gun')",2,"Transit Services Bureau, South","(33.90593, -118.2673036)",SH2260482
471,Benjamin Alvarado,2010-02-26,35,"(0, '')",2,Lakewood,"(33.8570512, -118.0723051)",SH2261796
472,Benjamin Alvarado,2010-02-26,29,"(0, '')",0,Lakewood,"(33.8570512, -118.0723051)",SH2261796
473,Joshua Bardon,2010-03-06,20,"(0, '')",2,Century,"(33.953993, -118.2065051)",SH2262624
474,Joshua Bardon,2010-03-06,18,"(1, 'Gun')",2,Century,"(33.953993, -118.2065051)",SH2262624
475,John MacDonald,2010-03-09,50,"(1, 'Gun')",2,Special Enforcement Bureau,"(33.9771645, -118.1980936)",SH2262863
476,Troy Krautkramer,2010-03-24,35,"(0, '')",2,East Los Angeles,"(34.0496945, -118.1939057)",SH2263754
477,Unknown,2010-04-13,28,"(0, '')",2,Unknown,"(34.0221996, -118.1657485)",SH2264969
478,Mark Collins,2010-04-18,24,"(1, 'Gun')",2,Transit Services Bureau,"(34.557507, -117.9198964)",SH2265120
479,Freddy Brown,2010-05-06,26,"(1, 'Gun')",2,Lakewood,"(33.8295143, -118.0773666)",SH2266258
480,Lorena Rosales,2010-05-06,29,"(1, 'Gun')",1,Lomita,"(33.7904935, -118.3076794)",SH2266368
481,Victor Solis,2010-05-07,21,"(0, '')",0,Lakewood,"(34.3871821, -118.1122679)",SH2266395
482,Omar Escobar,2010-06-05,25,"(0, '')",2,East Los Angeles,"(34.0163962, -118.1869225)",SH2267995
483,Jaime Magana,2010-06-09,25,"(1, 'Screwdriver')",1,West Hollywood - off duty,"(34.1566487, -117.9108739)",SH2268577
484,Jaime Magana,2010-06-09,32,"(0, '')",0,West Hollywood - off duty,"(34.1566487, -117.9108739)",SH2268577
485,Tareq Abdulfattah,2010-06-10,61,"(1, 'Gun')",1,Altadena,"(34.19313820000001, -118.1340661)",SH2268489
486,Daniel Mailloux,2010-06-15,23,"(0, '')",1,Lakewood,"(33.8876655, -118.1225214)",SH2268975
487,Alexander Khasaempanth,2010-06-15,29,"(1, 'Gun')",2,Industry,"(34.0177288, -117.9169115)",SH2268662
488,John Denney,2010-06-19,30,"(1, 'Knife')",2,Lakewood,"(33.8339736, -118.1635173)",SH2268955
489,Michael Miller,2010-06-27,20,"(0, '')",0,Men's Central Jail - off duty,,SH2269365
490,Michael Miller,2010-06-27,25,"(0, '')",0,Men's Central Jail - off duty,,SH2269365
491,Michael Miller,2010-06-27,21,"(0, '')",0,Men's Central Jail - off duty,,SH2269365
492,Eric Acosta,2010-07-09,41,"(0, '')",0,Santa Clarita,"(34.4382114, -118.3374917)",SH2270109
493,Unknown,2010-07-27,32,"(0, '')",2,Century,"(33.8921528, -118.2652779)",SH2271066
494,Jason Puga,2010-07-27,29,"(0, '')",2,Century,"(33.9339178, -118.2781293)",SH2274799
495,Richard Harpham,2010-08-17,36,"(2, '')",1,Lakewood,"(33.8724112, -118.1107705)",JSID 11-0740
496,Desmond Carter,2010-08-20,49,"(0, '')",0,Off Duty,"(34.3779786, -118.5670429)",SH2275251
497,Kason Barraclough,2010-08-21,24,"(0, '')",2,Century,"(33.92345, -118.2537358)",SH2276178
498,Armando Orellana,2010-08-25,29,"(1, 'Gun')",0,Century,"(33.9574334, -118.2607896)",SH2272659
499,Unknown,2010-10-01,30,"(1, 'BB Gun')",2,"Lancaster - Community Oriented Policing Bureau, High Impact Team","(34.69317, -118.1635426)",SH2274774
500,Jacob Goble,2010-10-03,21,"(1, '')",0,West Hollywood,"(34.0907609, -118.3670156)",SH2274895
501,Chad Sessman,2010-10-09,20,"(1, 'Gun')",2,Operation Safe Streets Bureau - Gang Enforcement Team,"(34.0149475, -118.1636436)",SH2275272
502,Julio Jove,2010-10-10,20,"(1, '')",1,Century,"(33.9212661, -118.2097377)",SH2275293
503,Andrea Sandoval,2010-10-19,28,"(0, '')",0,East Los Angeles,"(33.9860734, -118.2171276)",SH2276042
504,John Werner,2010-10-22,46,"(0, '')",2,Compton,"(33.908373, -118.289382)",SH2276092
505,Ronnie Manier,2010-10-28,21,"(0, '')",0,Altadena,"(34.196634, -118.1572044)",SH2276405
506,Isidro Villasenor,2010-11-05,27,"(0, '')",0,Norwalk,"(34.3871821, -118.1122679)",SH2276842
507,Victor Lemus,2010-11-08,21,"(1, 'Gun')",1,Century,"(33.9210808, -118.2439689)",SH2276878
508,Unknown,2010-11-11,21,"(1, 'Gun')",0,Operation Safe Streets Bureau - Gang Enforcement Team,"(33.8859124, -118.226266)",SH2277067
509,Raul Regalado,2010-11-17,21,"(0, '')",2,Compton,"(33.9087635, -118.2106293)",SH2277326
510,Daniel Torres,2010-11-26,31,"(1, 'Knife')",1,Walnut,"(33.988105, -117.9011832)",SH2277798
511,Unknown,2010-12-01,25,"(0, '')",0,Operation Safe Streets Bureau,"(33.79703, -118.27507)",SH2278189
512,Hector Contreras,2010-12-01,20,"(0, '')",2,East Los Angeles,"(34.0422387, -118.1646821)",SH2278275
513,Paul Parkhurst,2010-12-21,44,"(0, '')",1,Lancaster,"(34.6470748, -118.2522626)",SH2279155
514,Carlos Parga,2011-01-08,20,"(1, 'Gun')",1,Century,"(33.9662379, -118.2584046)",SH2280365
515,Alejandro Ramirez,2011-01-10,39,"(1, 'Knife')",2,Parks Bureau,"(34.0997933, -118.0103572)",SH2280567
516,Daniel Reyes,2011-01-11,37,"(1, 'Gun')",1,East Los Angeles,"(34.0443783, -118.1780137)",SH2280312
517,Scott E. Sorrow,2011-02-05,43,"(0, '')",2,Palmdale,"(34.3871821, -118.1122679)",SH2281936
518,Juan C. Rodriguez,2011-02-11,25,"(1, 'Gun')",2,"Twin Towers Correctional Facility, off-duty","(34.1028241, -118.0297355)",SH2282364
519,Anthony Forlano,2011-02-14,31,"(0, '')",2,COPS Bureau,"(34.3871821, -118.1122679)",SH2282402
520,Jonathan Lested,2011-02-18,33,"(1, 'Gun')",1,Altadena,"(34.1780362, -118.1309891)",SH2282797
521,George Aguilera,2011-02-26,24,"(1, 'Knife')",2,Pico Rivera Station,"(34.0330312, -118.1688976)",SH2283105
522,Angel Rodriguez,2011-03-01,24,"(0, '')",0,East Los Angeles,"(34.0471312, -117.9927488)",SH2283530
523,Victor Hess,2011-03-01,17,"(1, 'Knife')",1,Palmdale PAC Team,"(34.6018743, -118.120063)",SH2283791
524,Michael Herrera,2011-03-10,23,"(0, '')",2,Lakewood,"(33.8388306, -118.1051291)",SH2284201
525,Richard Rubalcaba,2011-03-12,23,"(1, 'Replica gun')",1,Century,"(33.9162496, -118.2888193)",SH2284262
526,Robert Alvarez,2011-03-26,29,"(0, '')",2,Off Duty,"(34.1423198, -118.0729534)",SH2285143
527,Robert Alvarez,2011-03-26,26,"(0, '')",2,Off Duty,"(34.1423198, -118.0729534)",SH2285143
528,Victor Lemus,2011-03-29,21,"(1, 'Gun')",0,Century,"(33.9246528, -118.2826032)",SH2285757
529,Adrian Dominguez,2011-04-04,23,"(1, 'Gun')",2,Century,"(33.9710617, -118.2576801)",SH2286274
530,Adrian Dominguez,2011-04-04,24,"(1, 'Gun')",2,Century,"(33.9710617, -118.2576801)",SH2286274
531,"Gonzalo Inzunza, Jr.",2011-04-04,31,"(1, 'Gun ')",2,Century,"(33.953147, -118.2518855)",SH2285686
532,Andrew Campbell,2011-04-08,19,"(1, 'Airsoft gun')",1,Palmdale,"(34.5689397, -118.1274225)",SH2286320
533,Juan P. Rodriguez,2011-05-22,21,"(0, '')",2,Century,"(33.9311292, -118.2462986)",SH2288886
534,Daniel Castro,2011-05-22,20,"(0, '')",0,West Hollywood,"(34.091024, -118.3900535)",SH2286367
535,Adam F. Stoll,2011-05-24,22,"(0, '')",2,Century,"(33.9719364, -118.2347079)",SH2288996
536,Adam F. Stoll,2011-05-24,18,"(1, 'Gun')",2,Century,"(33.9719364, -118.2347079)",SH2288996
537,Oscar Barrios,2011-05-25,19,"(0, '')",1,Century,"(33.927246, -118.2537733)",SH2289268
538,Steven Shirley,2011-06-22,44,"(0, '')",2,Communications/Fleet,"(34.0319815, -118.2322659)",SH2290740
539,David Chevez,2011-06-23,32,"(1, 'Gun')",1,South Los Angeles,"(33.915792, -118.3438919)",SH2291408
540,Vincent Cisneros,2011-07-21,26,"(0, '')",2,East Los Angeles,"(33.9695543, -118.2009606)",SH2292855
541,Roger Flores,2011-07-21,29,"(0, '')",2,Industry - Multi-Agency Task Force,"(34.0382254, -118.2811498)",SH2292874
542,Anthony Duran,2011-07-23,27,"(0, '')",2,Transit Services Bureau,"(34.2356516, -118.4850743)",SH2292862
543,Jaime Juarez,2011-09-09,22,"(0, '')",2,Compton,"(33.8873883, -118.254848)",SH2296738
544,Damon Jones,2011-10-05,27,"(0, '')",2,"Carson, off duty","(33.8726862, -118.0565299)",SH2298451
545,Damon Jones,2011-10-05,25,"(0, '')",2,"Carson, off duty","(33.8726862, -118.0565299)",SH2298451
546,Gustavo Munoz,2011-10-13,32,"(1, 'Gun')",1,Palmdale,"(34.5670515, -118.0740379)",SH2298829
547,Judith Gonzalez,2011-10-14,Unknown,"(0, '')",2,Off duty,"(33.9066319, -118.006778)",SH2334374
548,Daniel Hoyos,2011-11-26,32,"(1, 'Plastic replica gun')",2,Compton,"(34.0072524, -117.8980572)",SH2301830
549,Brent Del Valle,2011-11-29,39,"(1, 'Gun')",2,Norwalk,"(33.9260494, -118.0957124)",SH2301967
550,John MacDonald,2011-12-01,39,"(0, '')",1,Special Enforcement Bureau,"(33.9274128, -118.0821518)",SH2302306
551,Marco Esperanza,2011-12-06,22,"(0, '')",0,East Los Angeles - Reserve,"(34.1757833, -118.4510348)",SH2302529
552,Marco Esperanza,2011-12-06,26,"(0, '')",0,East Los Angeles - Reserve,"(34.1757833, -118.4510348)",SH2302529
553,Marco Esperanza,2011-12-06,25,"(0, '')",0,East Los Angeles - Reserve,"(34.1757833, -118.4510348)",SH2302529
554,David De La O,2011-12-16,32,"(1, 'Gun')",1,Transit Services Bureau,"(34.0729063, -118.2311759)",SH2303242
555,Eric Moreno,2011-12-16,29,"(1, 'Pellet Gun')",2,Compton deputy working overtime at Industry,"(34.0347984, -117.9749033)",SH2303209
556,Joseph Vasquez,2011-12-27,48,"(1, 'Steak knife')",1,Lomita,"(33.768628, -118.4034544)",SH2304896
557,Victor J Fernandez,2011-12-28,22,"(1, 'Gun')",2,Lakewood,"(34.0387923, -118.2763069)",SH2303930
558,Brian Vance,2012-01-04,40,"(1, 'Hammer')",1,Temple,"(34.0813657, -118.0679014)",SH2304350
559,Michael Mabee,2012-01-05,28,"(1, 'BB Gun')",2,Lakewood,"(33.9095722, -118.1585794)",SH2304436
560,Isidro Villasenor,2012-01-10,18,"(0, '')",2,Norwalk,"(33.928135, -118.2526927)",SH2304737
561,Uriel Cruz,2012-01-21,26,"(0, '')",1,Lancaster,"(34.6861442, -118.1483782)",SH2305899
562,Unknown,2012-01-25,25,"(1, 'Gun')",0,Compton,"(33.9025025, -118.2301377)",SH2305755
563,Silvio Paz,2012-01-28,18,"(1, 'Gun')",0,South Los Angeles,"(33.9381926, -118.3602396)",SH2305842
564,Jeremi Edwards,2012-02-01,68,"(1, '')",1,Operation Safe Streets Bureau,"(34.6996029, -118.1327206)",SH2306279
565,Carlos Nuques,2012-02-08,19,"(1, 'Gun')",2,Major Crimes Bureau,"(33.9047422, -118.2143664)",SH2306563
566,Cuauhtemol Gonzalez,2012-02-11,27,"(0, '')",0,Pico Rivera,"(34.0137113, -118.0810025)",SH2306811
567,Nicholas Stewart,2012-02-22,22,"(0, '')",1,Lakewood,"(33.8827429, -118.1604027)",SH2307689
568,John Castro,2012-02-22,29,"(1, 'Gun')",2,Pico Rivera,"(33.9867796, -118.0939775)",SH2307685
569,Michael Espinosa,2012-02-26,46,"(0, '')",1,COPS Bureau,"(33.877905, -118.066958)",SH2307799
570,Christopher Quintero,2012-03-04,23,"(1, 'Gun')",2,Century,"(33.9017158, -118.253166)",SH2308242
571,Anthony Paez,2012-03-07,22,"(0, '')",1,Operation Safe Streets Bureau - Gang Enforcement Team,"(33.94244090000001, -118.2351296)",SH2308453
572,David Faria,2012-03-08,24,"(0, '')",2,California Multi-Jurisdictional Methamphetamine Enforcement Team,"(33.8340556, -118.0765367)",SH2308622
573,James Norville II,2012-04-16,35,"(0, '')",2,Lakewood,"(33.7989458, -118.1948183)",SH2311518
574,Daniel Welle,2012-05-05,29,"(0, '')",1,Lancaster,"(34.6033751, -117.8315931)",SH2312180
575,Tim Wolford,2012-05-12,30,"(1, 'Gun')",1,Industry,"(34.3871821, -118.1122679)",SH2312667
576,Sergio Jimenez,2012-05-13,22,"(0, '')",0,Compton,"(33.8814862, -118.2277776)",SH2312742
577,Sergio Jimenez,2012-05-13,35,"(1, 'Gun')",2,Compton,"(33.8814862, -118.2277776)",SH2312742
578,Calvert Rosborough,2012-05-23,18,"(0, '')",0,Transportation Bureau - off duty,"(33.9053097, -118.2363283)",SH2313179
579,Calvert Rosborough,2012-05-23,19,"(0, '')",2,Transportation Bureau - off duty,"(33.9053097, -118.2363283)",SH2313179
580,Ian Stade,2012-05-25,27,"(1, 'Gun')",0,Special Enforcement Bureau,"(33.7865675, -118.2726194)",SH2313309
581,Ian Stade,2012-05-25,28,"(1, 'Gun')",0,Special Enforcement Bureau,"(33.7865675, -118.2726194)",SH2313309
582,Unknown,2012-05-30,29,"(1, 'Gun')",2,Compton,"(33.8880867, -118.2399481)",SH2313814
583,Norma Silva,2012-06-21,27,"(0, '')",1,Century,"(33.9189754, -118.1886731)",SH2315077
584,Lucio Venegas,2012-06-24,30,"(1, 'Gun')",1,Century,"(33.9098829, -118.2078873)",SH2315102
585,Salvador Esquivel,2012-07-01,21,"(1, 'Gun')",2,Compton,"(33.8915728, -118.2070649)",SH2315579
586,Frank Huelga,2012-08-03,31,"(1, 'Gun')",1,Palmdale,"(34.5826089, -118.1221299)",SH2318393
587,Unknown,2012-08-16,25,"(1, 'Gun')",0,South Los Angeles,"(33.917401, -118.3004115)",SH2318732
588,Jerry Lopez,2012-08-16,32,"(1, 'Gun')",2,Compton,"(33.8983538, -118.2106084)",SH2318852
589,Sergio Cosio,2012-08-24,21,"(0, '')",1,Lakewood,"(33.8903635, -118.1337744)",SH2319289
590,Clayton Stetler,2012-08-29,28,"(0, '')",2,Carson,"(33.7826805, -118.2154856)",SH2319638
591,Rudolpho Santana,2012-08-29,34,"(0, '')",1,Major Crimes Bureau,"(33.8366606, -118.2853527)",SH2319642
592,Clayton Stetler,2012-08-29,26,"(0, '')",0,Carson,"(33.7826805, -118.2154856)",SH2319638
593,Raul Magadan,2012-08-31,35,"(1, 'Gun')",0,Operation Safe Streets - Compton,"(34.3871821, -118.1122679)",SH2319772
594,Raul Magadan,2012-08-31,28,"(1, 'Gun')",0,Operation Safe Streets - Compton,"(34.3871821, -118.1122679)",SH2319772
595,John Marquez,2012-09-02,25,"(0, '')",0,Temple,"(34.04074430000001, -118.0367498)",SH2319756
596,John Marquez,2012-09-02,24,"(1, 'Gun')",0,Temple,"(34.04074430000001, -118.0367498)",SH2319756
597,Daniel Hoyos,2012-09-08,15,"(0, '')",2,Compton,"(33.7954374, -118.1890797)",SH2320635
598,Gregory Berg,2012-09-17,27,"(1, 'Gun')",1,Lakewood,"(33.8847925, -118.1477404)",SH2320834
599,David Chevez,2012-09-28,27,"(0, '')",1,South Los Angeles,"(33.9503171, -118.3483762)",SH2322988
600,Unknown,2012-09-28,20,"(1, 'Gun')",2,East Los Angeles,"(34.037243, -118.1592224)",SH2321692
601,John Werner,2012-10-24,22,"(0, '')",0,Compton,"(33.8969569, -118.1999771)",SH2323207
602,John Werner,2012-10-24,24,"(0, '')",2,Compton,"(33.8969569, -118.1999771)",SH2323207
603,John Werner,2012-10-24,27,"(0, '')",2,Compton,"(33.8969569, -118.1999771)",SH2323207
604,Richard Nagler,2012-11-09,60,"(1, 'Gun')",1,Santa Clarita,"(34.7178861, -118.1475295)",SH2324672
605,Alexandro Gonzalez,2012-11-10,36,"(1, 'Gun')",1,Century,"(33.9217009, -118.2390138)",SH2324530
606,Michael Coberg,2012-11-14,35,"(1, 'Gun')",1,Operation Safe Streets Bureau - Gang Enforcement Team,"(33.9053456, -118.1947954)",SH2324397
607,Gerardo Magos,2012-11-16,24,"(1, 'Gun')",2,Operations Safe Streets Bureau - Detective Division,"(33.9658161, -118.2499385)",SH2324519
608,Gerardo Magos,2012-11-16,36,"(0, '')",0,Operations Safe Streets Bureau - Detective Division,"(33.9658161, -118.2499385)",SH2324519
609,Gerardo Magos,2012-11-16,24,"(0, '')",2,Operations Safe Streets Bureau - Detective Division,"(33.9658161, -118.2499385)",SH2324519
610,Tony Franklin,2012-11-23,31,"(1, 'Gun')",2,Century,"(33.9251699, -118.246287)",SH2324827
611,Casey Cheshier,2012-12-23,35,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.9750738, -118.074743)",SH2326539
612,John Padilla,2013-01-09,16,"(1, 'Knife')",1,Pico Rivera,"(34.0015525, -118.0897577)",SH2328967
613,Lawrence Swanson,2013-01-21,Unknown,"(0, '')",2,Unknown,,Federal Court case 2:14-cv-02780-R-CW
614,Ray Huang,2013-02-01,35,"(0, '')",2,Walnut,"(34.0117426, -117.8599436)",SH2328951
615,Andrew Leos,2013-02-08,26,"(2, '')",1,Unknown,"(33.8427075, -118.2965806)",Unknown
616,Carlos Cueva,2013-04-09,25,"(1, 'Gun')",1,Century,"(33.9163371, -118.198059)",SH2334985
617,Jonathan Paik,2013-04-26,24,"(0, '')",1,South Los Angeles,"(33.9303672, -118.2923877)",SH2333612
618,Rafael  Munoz,2013-04-29,35,"(1, 'Gun')",1,East Los Angeles,"(34.0533186, -118.2208428)",SH2334307
619,Luis Mendoza,2013-05-11,34,"(0, '')",1,East Los Angeles,"(33.9700821, -118.195207)",SH2335335
620,Michael Mabee,2013-05-14,37,"(0, '')",1,Lakewood,"(33.9016349, -118.171762)",SH2334516
621,Jason Zabala,2013-05-18,49,"(0, '')",1,Century,"(33.9847322, -118.2448573)",SH2334807
622,Dru Strong,2013-05-23,27,"(1, 'Gun')",1,Compton,"(33.8983143, -118.2055208)",SH2335077
623,"Caren Mandoyan,",2013-06-21,24,"(1, 'Gun')",2,South Los Angeles - Summer,"(33.9441016, -118.2919227)",SH2336689
624,Chad Sessman,2013-06-22,24,"(1, 'Gun')",1,Industry,"(34.0346485, -117.9465421)",SH2336691
625,Jason  Pearson,2013-06-27,22,"(1, 'Gun')",1,Compton,"(33.899406, -118.2434599)",J.S.I.D. File #13-0465
626,John Bones,2013-06-27,80,"(0, '')",1,Palmdale - Narcotics,"(34.5476488, -117.9191885)",SH2336880
627,Pablo Partida,2013-07-19,29,"(1, 'Gun')",1,Pico Rivera,"(33.9813007, -118.0638826)","SH2338198, SH2383553"
628,Alejandro Ramirez,2013-07-24,42,"(0, '')",1,Compton,"(33.88436009999999, -118.2060513)",SH2338561
629,Jason Puga,2013-08-28,17,"(0, '')",1,Century - Overtime Crime Car,"(33.9086581, -118.234286)",SH2340691
630,Nicholas Castellanos,2013-09-10,23,"(1, 'Gun')",1,East Los Angeles,"(34.0527907, -118.1783903)",SH2341381
631,Paul Morales,2013-10-06,49,"(1, 'Wooden Stick')",1,Transit Services Bureau - Bus Riding Team,"(34.034634, -118.3788011)",J.S.I.D. File #13-0679
632,Delicia Hernandez,2013-10-06,53,"(1, '')",1,Unknown,"(34.4849186, -118.6366393)",J.S.I.D. File #13-0685
633,Monica Vargas,2013-10-26,57,"(0, '')",1,Lakewood,"(33.884957, -118.1178442)",SH2344276
634,Kelly Marchello,2013-10-28,49,"(1, 'Gun')",1,South Los Angeles,"(33.945385, -118.343563)",SH2344520
635,David Avila,2013-11-01,52,"(1, 'Knife')",2,Custody Investigative Services Unit - Pico Rivera,"(33.9884531, -118.1983132)",SH2345313
636,Marc Schultz,2013-11-01,27,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0510154, -118.2326823)",SH2344747
637,Ricky Gutierrez,2013-11-15,21,"(1, 'Knife')",1,Temple,"(34.0553863, -118.0850506)",SH2345764
638,Oscar Calderon,2013-12-29,24,"(1, 'Gun')",2,Operations Safe Streets Bureau - Homeland Security Division,"(34.1189662, -117.9927847)",SH2347822
639,Oscar Calderon,2013-12-29,36,"(0, '')",2,Operations Safe Streets Bureau - Homeland Security Division,"(34.1189662, -117.9927847)",SH2347822
640,Michael McMorrow,2014-01-18,18,"(1, 'Gun')",2,Norwalk,"(33.8844449, -118.0777371)",SH2323528
641,Carlos De La Torre,2014-01-26,44,"(1, 'Gun')",2,Century,"(33.9180221, -118.2321282)",SH2349925
642,Edgar Quintana,2014-01-30,47,"(1, 'Sand spike')",1,Santa Clarita,"(34.4159695, -118.4586707)",SH2349802
643,Jose L. Hernandez,2014-02-04,56,"(1, 'Machete')",2,Pico Rivera,"(34.0313236, -118.3876366)",SH2349805
644,Luis Mrad,2014-02-13,35,"(0, '')",1,Walnut,"(34.0097621, -117.8848341)",SH2351000
645,Unknown,2014-02-14,27,"(0, '')",0,Unknown,"(33.7901195, -118.1776789)",SH2351218
646,Unknown,2014-02-14,39,"(1, '')",2,Unknown,"(33.7901195, -118.1776789)",SH2351218
647,Unknown,2014-02-21,Unknown,"(2, '')",1,Unknown,,SH2356033
648,Lewis Orantes,2014-03-16,28,"(1, 'Gun')",2,Lancaster,"(34.67163230000001, -118.1593072)",SH2351042
649,Andrew Leos,2014-03-25,24,"(1, 'Gun')",0,Compton,"(33.8867736, -118.2259193)",SH2353284
650,Byron Holloway,2014-04-07,30,"(0, '')",1,West Hollywood,"(34.1904391, -118.3018327)",SH2353685
651,Alejandro Lomeli,2014-04-12,28,"(1, 'Gun')",0,East Los Angeles,"(34.3871821, -118.1122679)",SH2353622
652,Armando Hernandez,2014-04-13,45,"(1, 'Gun')",2,Century,"(33.93627439999999, -118.2097896)",SH2353662
653,Andrew Alatorre,2014-04-24,42,"(1, 'Cake spatula')",1,East Los Angeles,"(33.9913126, -118.1953798)",SH2354798
654,James Ponsford,2014-04-29,26,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0365093, -118.1849257)",SH2354585
655,Zenon Porche,2014-05-24,34,"(0, '')",2,West Hollywood,"(34.0949158, -118.3735301)",SH2355933
656,Albert Murad,2014-05-26,24,"(1, 'Gun')",1,Compton,"(33.88051859999999, -118.2043472)",SH2355927
657,Mark Brewster,2014-06-24,18,"(0, '')",1,West Hollywood,"(34.1436372, -118.3977294)",SH2269296
658,Timothy Lee,2014-06-24,24,"(1, 'Gun')",1,Compton,"(33.8983564, -118.2095299)",SH2358120
659,Timothy Lee,2014-06-24,Unknown,"(0, '')",2,Compton,"(33.8983564, -118.2095299)",SH2358120
660,Mark Brewster,2014-06-24,18,"(0, '')",0,West Hollywood,"(34.1436372, -118.3977294)",SH2269296
661,Donnie Johnson,2014-06-25,29,"(1, 'Gun')",1,Major Crimes Bureau,"(34.3871821, -118.1122679)",SH2358213
662,Scott Guthrie,2014-07-10,25,"(0, '')",0,Compton,"(33.8421788, -118.277304)",SH2360451
663,Deanna Ballesteros,2014-07-17,25,"(1, 'Gun')",2,Operation Safe Streets Bureau,"(33.8958492, -118.2200712)",SH2365671
664,Anselmo Gonzalez,2014-08-02,24,"(1, 'Gun')",1,Pico Rivera,"(33.9933807, -118.0870041)",SH2362639
665,Anselmo Gonzalez,2014-08-02,54,"(0, '')",1,Pico Rivera,"(33.9933807, -118.0870041)",SH2362639
666,Edson Salazar,2014-08-09,41,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0256172, -118.2730288)",SH2362771
667,Raul Guerrero,2014-08-10,18,"(1, 'Gun')",2,Century,"(33.9262323, -118.2736547)",SH2362775
668,Carlos Lopez,2014-08-18,38,"(0, '')",1,Special Enforcement Bureau,"(33.8742828, -118.1461971)",SH2363209
669,Ricardo Munoz,2014-08-26,53,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.8734296, -118.2143704)",SH2364142
670,Pedro Guerrero-Gonzales,2014-10-04,28,"(0, '')",1,Century,"(33.9722444, -118.2560605)",SH2367931
671,Edwardo Sanchez,2014-10-08,19,"(1, 'Gun')",2,East Los Angeles,"(34.0172308, -118.1629468)",SH2368395
672,Bryan Moreno,2014-10-27,28,"(0, '')",1,Lakewood,"(33.9005188, -118.1582666)",SH2369175
673,Marco Magana,2014-10-29,41,"(1, 'Gun')",2,South Los Angeles,"(33.8814651, -118.3307926)",SH2369362
674,Justin Auldridge,2014-11-07,36,"(1, 'Gun')",1,Palmdale,"(34.6157063, -118.204669)",SH2370349
675,Daniel Marquez,2014-11-16,26,"(1, 'Replica gun')",1,East Los Angeles,"(34.0180286, -118.1569825)",SH2370134
676,Daniel Marquez,2014-11-16,57,"(0, '')",1,East Los Angeles,"(34.0180286, -118.1569825)",SH2370134
677,Enrique Cano,2014-11-30,19,"(1, 'Knife')",1,Carson,"(33.8073676, -118.2709572)",SH2370720
678,Jorge Ortiz,2014-12-31,34,"(1, 'Gun')",1,Compton,"(33.8948915, -118.2764091)",SH2372358
679,Clarence Hodge,2015-02-02,30,"(0, '')",0,Santa Clarita,"(34.3700734, -118.5082173)",SH2370002
680,Steven Sather,2015-02-05,25,"(1, 'Gun')",0,Carson,"(33.8523647, -118.2460769)",SH2374167
681,Jonathan Lested,2015-02-12,18,"(0, '')",0,Altadena,"(34.180927, -118.1360596)",SH2374385
682,David Swanson,2015-02-19,50,"(0, '')",0,Mounted Enforcement Detail,"(34.3227054, -118.4746743)",SH2374877
683,Sergio Santoyo,2015-03-03,50,"(1, 'Utility knife')",2,Lakewood,"(33.83399, -118.2502224)",SH2375405
684,Eric Espinoza,2015-03-12,32,"(0, '')",1,Century,"(34.02857, -118.27379)",SH2375947
685,Javier Estrella,2015-03-13,25,"(1, 'Gun')",2,South Los Angeles,"(33.9459661, -118.2959285)",SH2375981
686,Caren Mandoyan,2015-03-20,31,"(1, 'Gun')",2,South Los Angeles,"(33.9398845, -118.2915952)",SH2376276
