,officer,date,age,weapon,outcome,assignment,latlng,id
75,Corry Cline,1993-12-25,28,"(1, 'Gun')",2,Santa Clarita,"(34.7564516, -118.796584)",SH0523053
76,Edward G. Everett,1994-01-19,23,"(1, 'Gun')",2,Lennox,"(33.9461455, -118.2921859)",SH0523065
77,Garcia,1994-02-16,Unknown,"(1, 'Gun')",2,Multi-Jurisdictional Criminal Apprehension Detail (MCAD),"(33.8204565, -118.3086524)",SH0523066
78,Unknown,1994-02-27,52,"(1, 'Gun')",1,Firestone,"(33.950495, -118.2542478)",SH0523068
79,Darrel Airhart,1994-03-04,44,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.8708362, -118.0748902)",SH0523072
80,Allen Harris,1994-03-06,18,"(1, 'Gun')",0,Carson - Safe Streets Bureau,"(34.1241028, -118.4642107)",SH0523259
81,Michael James Rothans,1994-03-31,Unknown,"(1, 'Gun')",0,Narcotics Bureau,"(33.9192735, -118.3091698)",SH0523067
82,Unknown,1994-04-07,Unknown,"(1, 'BB Gun')",0,Century Station,"(33.9846214, -118.2561473)",SH2566746
83,Raye Morales,1994-06-27,21-22,"(1, 'Gun')",1,Industry Station/Field Operations Region III,"(34.3871821, -118.1122679)",SH0523076
84,Mitchell Hodrick,1994-08-18,Unknown,"(1, 'Gun')",0,Lennox,"(33.9388059, -118.3443742)",SH0523078
85,Sean C. Hoodye,1994-08-26,25,"(0, '')",1,Inmate Reception Center,"(34.0526555, -118.2182574)",SH0523083
86,Scott Orr,1994-09-10,25,"(1, 'Gun')",1,Carson,"(33.8316745, -118.281693)",SH0523079
87,Benny Hollowell,1994-10-16,Unknown,"(0, '')",0,Unknown,"(33.9608218, -118.1696671)",SH0523162
88,Eliezer Vera,1994-10-26,19,"(0, '')",0,Century,"(33.923592, -118.2037242)",SH523089
89,Eliezer Vera,1994-10-26,20,"(1, 'Gun')",0,Century,"(33.923592, -118.2037242)",SH523089
90,Richard Schlegel,1994-10-28,26,"(0, '')",0,Lennox,"(34.3871821, -118.1122679)",SH0523160
91,Richard Schlegel,1994-10-28,21,"(0, '')",0,Lennox,"(34.3871821, -118.1122679)",SH0523160
92,Gregg Hopping,1994-11-02,27,"(1, 'Knife')",1,Temple,"(34.1209243, -117.9910271)",SH0523085
93,"Ernest ""Ernie Chavez",1994-11-05,27,"(0, '')",1,Century,"(33.9669506, -118.2248164)",SH0523090
94,Lawrence Adams,1994-12-05,24,"(1, 'Gun')",1,Industry,"(33.9940836, -117.9235077)",SH0523093
95,Gregory Gabriel,1994-12-18,30,"(0, '')",1,La Crescenta,"(34.21598, -118.239961)",SH0523069
96,Jeffrey Perry,1995-01-03,22,"(0, '')",0,Century,"(34.0462121, -118.4439236)",SH1070393
97,Lauren Brown,1995-01-11,25,"(1, 'Gun')",2,Antelope Valley,"(34.69299050000001, -118.1657639)",SH0523097
98,Unknown,1995-02-05,23,"(1, 'Gun')",2,Unknown,"(33.9372516, -118.2578244)",SH0523102
99,Bruce D. Chase,1995-02-21,19,"(1, 'Gun')",2,Century,"(33.928494, -118.2108969)",SH0523104
100,Daniel Ross,1995-02-27,Unknown,"(1, 'Gun')",2,Temple,"(34.1245195, -117.9956471)",SH0523103
101,Richard A. Ellis,1995-03-18,22,"(1, 'Gun')",0,Crescenta Valley,"(34.1832116, -118.1457365)",SH0523167
102,Boskovic,1995-03-28,Unknown,"(1, 'Gun')",1,Pico Rivera,"(33.9534154, -118.1300861)",SH0523101
103,Eliezer Vera,1995-04-20,30,"(1, 'Gun')",0,Century,"(33.9048781, -118.2248846)",SH523189
104,Miguel A. Macedo,1995-06-05,20,"(1, 'Gun')",0,East Los Angeles,"(34.0581913, -118.1739575)",SH0523176
105,Nicholas Rampone,1995-06-06,23,"(0, '')",1,Lakewood,"(33.8677729, -118.0477034)",SH0523123
106,Raymond Bernasconi,1995-06-29,24,"(1, 'Gun')",2,Court Services Division West Bureau,"(33.7423936, -118.2879105)",SH0523095
107,Frank Trabbie,1995-08-11,20,"(0, '')",0,Temple,"(33.864717, -118.30259)",SH0523177
108,Wayne Stricklin,1995-08-13,25,"(1, 'Gun')",1,Walnut,"(34.1001348, -117.8576553)",SH0523116
109,Christopher Adam Ellison,1995-09-06,20,"(1, 'Gun')",0,Crescenta Valley,"(34.3432173, -118.3607199)",SH0523171
110,Marcus Hershey,1995-09-12,22,"(0, '')",0,West Hollywood,"(34.0914302, -118.3659477)",SH0523175
111,Steven Newman,1995-09-25,23,"(0, '')",2,Carson,"(33.7808105, -118.3098387)",SH0523105
112,Daniel Batanero,1995-10-07,40,"(1, 'Gun')",2,East Los Angeles,"(34.0405995, -118.1670319)",SH0523119
113,Eliezer Vera,1995-11-03,32,"(1, 'Gun')",0,Century,"(33.9273128, -118.2105195)",SH523181
114,Bruce D. Chase,1995-11-27,19,"(1, 'Gun')",2,Century,"(33.9260011, -118.2362911)",SH0523129
115,Bruce D. Chase,1995-11-27,25,"(1, 'Gun')",0,Century,"(33.9260011, -118.2362911)",SH0523129
116,Thomas E. Dobis,1995-12-03,25,"(1, 'Gun')",2,Lakewood,"(33.9623669, -118.2001327)",SH0523130
117,Edward G. Everett,1996-01-07,57,"(1, 'Gun')",1,Lennox,"(33.9409915, -118.3631961)",SH0523133
118,Todd Kocisko,1996-02-02,46,"(1, 'Gun')",2,Century,"(33.9601093, -118.2539967)",SH0523134
119,Daniel Batanero,1996-03-22,19,"(1, 'Gun')",1,East Los Angeles,"(34.02014500000001, -118.1651083)",SH0523135
120,Francis Espeleta,1996-04-06,Unknown,"(1, 'Gun')",1,Century,"(33.9319599, -118.2484059)",SH0523139
121,Joseph Acevedo,1996-05-17,57,"(1, 'Gun')",1,Lennox,"(33.9418179, -118.3613531)",SH0523138
122,Crystal Miranda,1996-05-27,Unknown,"(0, '')",0,Century,"(33.9074517, -118.2674208)",SH1067942
123,Crystal Miranda,1996-05-27,22,"(1, 'Gun')",0,Century,"(33.9074517, -118.2674208)",SH1067942
124,Allen Mullins,1996-08-02,30,"(1, 'Gun')",0,Lancaster,"(34.6930732, -118.1303457)",SH1120330
125,Charles Fallon,1996-08-13,27,"(1, 'Gun')",1,Safe Streets Bureau/OSS/industry Station,"(34.034865, -117.9745698)",SH1069634
126,David Busk,1996-09-17,Unknown,"(1, 'Gun')",2,Crescenta Valley - Narcotics,"(34.0679377, -118.8074777)",SH1205152
127,David Busk,1996-09-17,Unknown,"(0, '')",0,Crescenta Valley - Narcotics,"(34.0679377, -118.8074777)",SH1205152
128,Joseph John Miskevics,1996-09-24,48,"(1, 'Gun')",2,Lynwood,"(33.9532805, -118.2396828)",SH0523086
129,James Bush,1996-10-02,27,"(0, '')",0,Crescenta Valley,"(34.2235429, -118.2432701)",SH1150533
130,Florentino Madrid,1996-11-19,50,"(1, 'Knife')",1,Walnut,"(33.98679, -117.8234178)",SH1180651
131,Unknown,1996-11-30,26,"(1, 'Gun')",2,Lennox,"(33.8563408, -118.0704593)",SH1198242
132,Russell Stover,1997-01-01,21,"(1, 'Gun')",2,Palmdale,,SH1204950
133,Dennis A. Clark Jr.,1997-01-01,26,"(1, 'Gun')",2,Norwalk,"(33.9487271, -118.0416267)",SH1197241
134,Phillip Marquez,1997-01-03,23,"(2, '')",0,Century,"(33.9130577, -118.2015544)",SH1139436
135,Phillip Marquez,1997-01-03,19,"(2, '')",2,Century,"(33.9130577, -118.2015544)",SH1139436
