,geo
237,"(34.001156, -117.8105272)"
238,"(34.3871821, -118.1122679)"
239,"(34.3871821, -118.1122679)"
240,"(33.9650713, -118.2224247)"
241,"(34.0636116, -118.0841894)"
242,"(34.041074, -118.2438032)"
243,"(34.0082448, -118.0998536)"
244,"(33.9228312, -118.1846665)"
245,"(34.5744044, -117.9651487)"
246,"(34.3871821, -118.1122679)"
247,"(33.9866064, -118.059857)"
248,"(33.9323272, -118.201821)"
249,"(33.8197949, -118.280773)"
250,"(33.9381914, -118.3624527)"
251,"(33.9971015, -118.1717376)"
252,"(34.1065978, -117.8891746)"
253,"(33.9175785, -118.29157)"
254,"(33.9175785, -118.29157)"
255,"(34.6605082, -118.1033834)"
256,"(33.9293382, -118.2390503)"
257,"(33.8764495, -118.0358992)"
258,"(33.9431113, -118.0464478)"
259,"(33.8582436, -118.2660083)"
260,"(34.5395537, -117.9657353)"
261,"(33.8771579, -118.3363406)"
262,"(34.3871821, -118.1122679)"
263,"(34.0804873, -118.089666)"
264,"(34.0358335, -118.0367225)"
265,"(33.9168337, -118.3074187)"
266,"(33.8959318, -118.2029335)"
267,"(33.8959318, -118.2029335)"
268,"(34.0699911, -118.027081)"
269,"(34.1118788, -118.0106834)"
270,"(33.8956976, -118.2290892)"
271,"(33.9904655, -118.255505)"
272,"(33.9904655, -118.255505)"
273,"(33.9271369, -118.0307305)"
274,"(33.9211795, -118.291835)"
275,"(33.9211795, -118.291835)"
276,"(33.9957861, -118.1484056)"
277,"(33.8968357, -118.2339022)"
278,"(34.0789546, -117.7569403)"
279,"(33.8550868, -118.1968493)"
280,"(33.886637, -118.2523751)"
281,"(34.5730586, -117.7971027)"
282,"(34.5614185, -118.0667775)"
283,"(33.9852247, -118.2564744)"
284,"(33.9185063, -118.2291886)"
285,"(34.090071, -117.9579885)"
286,"(34.0814068, -117.9801149)"
287,"(33.8978801, -118.2420951)"
288,"(34.125001, -117.9932686)"
289,"(34.125001, -117.9932686)"
290,"(33.9320039, -118.1933083)"
291,"(33.8963719, -118.1956526)"
292,"(34.057505, -117.9118819)"
293,"(33.9093535, -118.208869)"
294,"(33.9093535, -118.208869)"
295,"(34.4206666, -118.5641539)"
296,"(34.4206666, -118.5641539)"
297,"(33.9469864, -118.308971)"
298,"(34.0164779, -117.9112123)"
299,"(33.8983538, -118.2106084)"
300,"(34.0255335, -118.332635)"
301,"(33.9189984, -118.0925966)"
302,"(33.9189984, -118.0925966)"
303,"(33.9036228, -118.0873538)"
304,"(33.9036228, -118.0873538)"
305,"(34.0743011, -117.9390025)"
306,"(33.89224859999999, -118.2600631)"
307,"(34.072424, -118.0996166)"
308,"(33.8426616, -118.2989274)"
309,"(33.925057, -118.2932456)"
310,"(34.4113695, -118.55764)"
311,"(33.8319466, -118.2726726)"
312,"(33.8963758, -118.225022)"
313,"(33.9351343, -118.2379839)"
314,"(34.70063, -118.1205068)"
315,"(33.9440985, -118.2962315)"
316,"(33.9145087, -118.2049413)"
317,"(33.9096333, -118.2164055)"
318,"(33.9096333, -118.2164055)"
319,"(34.3871821, -118.1122679)"
320,"(34.3871821, -118.1122679)"
321,"(33.8836254, -118.2232224)"
322,"(33.8405981, -118.1611318)"
323,"(34.0748641, -118.0907211)"
324,"(33.9135697, -118.1899607)"
325,"(34.0009288, -118.2424495)"
326,"(34.0010943, -118.2431005)"
327,"(33.9828142, -118.1053423)"
328,"(33.8958665, -118.2441469)"
329,"(33.8924038, -118.2013735)"
330,"(34.1068056, -117.9075974)"
331,"(34.0367927, -118.0771309)"
332,"(33.8332489, -118.2217467)"
333,"(34.3871821, -118.1122679)"
334,"(33.8698474, -118.1422486)"
335,"(33.9183293, -118.2918464)"
336,"(33.8049449, -118.263939)"
337,"(34.024553, -118.141402)"
338,"(33.9309774, -118.2903817)"
339,"(33.9309774, -118.2903817)"
340,"(33.9078782, -118.2084841)"
341,"(33.8983925, -118.1175176)"
342,"(34.5809465, -118.0753693)"
343,"(34.0483836, -118.4544006)"
344,"(33.9198771, -118.2103111)"
345,"(34.0813671, -118.1518742)"
346,"(34.5794526, -118.1287712)"
347,"(34.0583056, -118.3602193)"
348,"(33.9152894, -118.2709318)"
349,"(33.9572578, -118.249646)"
350,"(34.6932023, -118.1838878)"
351,"(33.9221378, -118.2342776)"
352,"(33.9221378, -118.2342776)"
353,"(33.9015594, -118.3596271)"
354,"(33.91980420000001, -118.2280546)"
355,"(34.0487429, -118.190796)"
356,"(34.0487429, -118.190796)"
357,"(34.7022977, -118.1359674)"
358,"(33.8954744, -118.2553442)"
359,"(33.8954744, -118.2553442)"
360,"(33.911124, -118.2380464)"
361,"(33.7865632, -118.2104954)"
362,"(33.7865632, -118.2104954)"
363,"(34.0837424, -118.4121869)"
364,"(34.0082546, -118.0832814)"
365,"(33.8986164, -118.2525773)"
366,"(33.8986164, -118.2525773)"
367,"(34.0388642, -118.039844)"
368,"(33.9016306, -118.2020191)"
369,"(33.8747522, -118.1425074)"
370,"(34.6608712, -118.3971528)"
371,"(33.9381912, -118.3613446)"
372,"(34.0310215, -118.3324304)"
373,"(33.8080115, -118.2904558)"
374,"(33.9494852, -118.2534617)"
375,"(34.5776285, -118.1161033)"
376,"(33.9034093, -118.2511348)"
377,"(33.8829359, -118.1383077)"
378,"(34.8582497, -118.1623312)"
379,"(33.9019845, -118.2322449)"
380,"(34.0508867, -118.1067286)"
381,"(33.9023576, -118.2183727)"
382,"(34.5830046, -118.0686853)"
383,"(33.86861530000001, -118.0616487)"
384,"(34.042547, -118.1732588)"
385,"(33.9658097, -118.2461019)"
386,"(34.0301884, -118.4375256)"
387,"(33.7641538, -118.2710687)"
388,"(34.685576, -118.1490379)"
389,"(33.9384452, -118.3616008)"
390,"(33.8062075, -118.1969881)"
391,"(33.9019708, -118.1872795)"
392,"(34.0132169, -118.1445833)"
393,"(34.0132169, -118.1445833)"
394,"(33.9025753, -118.2020846)"
395,"(33.8827614, -118.2041272)"
396,"(33.8827614, -118.2041272)"
397,"(34.05727340000001, -118.1834789)"
398,"(33.9599586, -118.2039867)"
399,"(33.9176966, -118.2390251)"
400,"(33.9164479, -118.3240834)"
401,"(33.9059162, -118.2740262)"
402,"(34.0332342, -118.1858076)"
403,"(34.0332342, -118.1858076)"
404,"(33.9870284, -118.2521211)"
405,"(33.9097568, -118.3266066)"
406,"(33.9530001, -118.2469826)"
407,"(34.03923, -118.2633474)"
408,"(34.1360303, -118.028058)"
409,"(34.1360303, -118.028058)"
410,"(33.8964104, -118.2582597)"
411,"(33.8819526, -118.1686735)"
412,"(33.9356846, -118.3600178)"
413,"(33.9322068, -118.2138274)"
414,"(33.9144098, -118.1414328)"
415,"(33.941166, -118.2145406)"
416,"(33.9418545, -118.3177662)"
417,"(34.0673793, -118.0804929)"
418,"(33.9064611, -118.1032384)"
419,"(33.9819535, -118.1861081)"
420,"(33.9162305, -118.2462268)"
421,"(34.3871821, -118.1122679)"
422,"(34.0453428, -118.1721561)"
423,"(34.0278282, -118.2537149)"
424,"(33.9076759, -118.2893994)"
425,"(34.0553863, -118.0850506)"
426,"(33.8109274, -118.2719954)"
427,"(34.0742289, -118.0588789)"
428,"(34.0560614, -118.3428884)"
429,"(33.9164485, -118.3090482)"
430,"(33.9164485, -118.3090482)"
